0 3.5927e-01	588.98 1477.33
50 7.2952e-03	61.27 769.83
100 4.4578e-03	47.61 605.45
150 3.3718e-03	41.63 523.57
200 2.6519e-03	34.81 490.70
250 2.5002e-03	33.47 480.35
300 2.4361e-03	32.39 481.52
350 2.3813e-03	31.48 482.05
400 2.3974e-03	31.39 485.82
450 2.3728e-03	31.16 484.07
500 2.3704e-03	30.57 489.90
550 2.4336e-03	30.67 499.50
600 2.4278e-03	30.92 495.90
650 2.3546e-03	30.37 489.18
700 2.3421e-03	30.71 483.46
750 2.3646e-03	31.07 483.58
800 2.3743e-03	31.01 485.91
850 2.4146e-03	31.52 487.30
900 2.4253e-03	31.34 491.08
950 2.4360e-03	31.58 490.33
1000 2.4401e-03	31.59 490.91
1050 2.4244e-03	31.35 490.84
1100 2.4073e-03	31.33 488.07
1150 2.3860e-03	31.25 485.33
1200 2.3557e-03	31.11 481.58
1250 2.3320e-03	31.14 477.06
1300 2.3160e-03	31.15 474.18
1350 2.3065e-03	31.12 472.80
1400 2.2943e-03	31.11 470.77
1450 2.2860e-03	31.00 470.55
