ladder_step loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0.10450008460028959    0.02120630824755045    0.08303249313141065    0.00026128322132853163 0.14707288808435492    1.1880877043025266     0.14707288808435492    1.1880877043025266     0.8907896200946456     0.8907896200946456     10     10     3.9993028020911185e-06 0.00025728391852644053 0                      0.0                    0.0                    0.0                   
1           0.09447061056311183    0.021060211625766722   0.0730081257397613     0.0004022731975837845  0.14656539787847148    1.1140637981120782     0.14656539787847148    1.1140637981120782     0.8357454746170193     0.8357454746170193     20     20     7.4450210682459534e-06 0.0003948281765155385  0                      0.0                    0.0                    0.0                   
2           0.0866755806335706     0.01805431547455663    0.06849061823798709    0.00013064692102687922 0.13570335950693924    1.079046114953464      0.13570335950693924    1.079046114953464      0.788102519970306      0.788102519970306      30     30     4.259576068154886e-06  0.00012638734495872434 0                      0.0                    0.0                    0.0                   
3           0.08583088969565779    0.017253213176504165   0.06846435084459039    0.00011332567456324842 0.1326584993039288     1.0788391782398776     0.1326584993039288     1.0788391782398776     0.78943576438623       0.78943576438623       40     40     5.27486935872519e-06   0.00010805080520452323 0                      0.0                    0.0                    0.0                   
4           0.08510129546816336    0.017090354977949574   0.06798474431401201    2.6196176201765372e-05 0.13203091333118944    1.07505379466722       0.13203091333118944    1.07505379466722       0.7861669836892129     0.7861669836892129     50     50     2.0189401679973436e-06 2.4177236033768027e-05 0                      0.0                    0.0                    0.0                   
5           0.0836859071520286     0.01682817735169013    0.06685256338275487    5.166417583598582e-06  0.13101427745219552    1.0660645315656496     0.13101427745219552    1.0660645315656496     0.7785523173836506     0.7785523173836506     60     60     1.2135474119377473e-06 3.952870171660835e-06  0                      0.0                    0.0                    0.0                   
6           0.08355926294306674    0.016813889261066573   0.0667424062093317     2.967472668464748e-06  0.13095864631205867    1.0651858586655127     0.13095864631205867    1.0651858586655127     0.778310412161573      0.778310412161573      70     70     8.054195681338092e-07  2.162053100330939e-06  0                      0.0                    0.0                    0.0                   
7           0.08350186811074281    0.016799716026835044   0.06669198067111826    1.0171412789500476e-05 0.13090343901125262    1.0647833955060326     0.13090343901125262    1.0647833955060326     0.7779258116618767     0.7779258116618767     80     80     2.162863673333579e-06  8.008549116166896e-06  0                      0.0                    0.0                    0.0                   
8           0.0833857699536991     0.016772106378401232   0.06661224851835276    1.415056945104583e-06  0.13079582754650163    1.0641467157957378     0.13079582754650163    1.0641467157957378     0.7774893854457149     0.7774893854457149     90     90     4.750705486846175e-07  9.399863964199655e-07  0                      0.0                    0.0                    0.0                   
9           0.08333923117567958    0.01675536164429615    0.06657932916628774    4.540365095687404e-06  0.13073052005859       1.0638837360115212     0.13073052005859       1.0638837360115212     0.7770898454543811     0.7770898454543811     100    100    1.016342413086832e-06  3.524022682600572e-06  0                      0.0                    0.0                    0.0                   
