ladder_step cycle_step loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0.10450008460028937    0.021206308247548093   0.08303249313141586    0.00026128322132540143 0.14707288808434676    1.1880877043025642     0.14707288808434676    1.1880877043025642     0.890789620094679      0.890789620094679      10     10     3.999302801981859e-06  0.00025728391852341957 0                      0.0                    0.0                    0.0                   
1           0          0.09447061056237727    0.021060211635640327   0.07300812572889799    0.00040227319783896513 0.14656539791282844    1.114063798029194      0.14656539791282844    1.114063798029194      0.8357454745504687     0.8357454745504687     20     20     7.445020091941786e-06  0.0003948281777470233  0                      0.0                    0.0                    0.0                   
2           0          0.08667558063358963    0.018054315474500773   0.06849061823804296    0.00013064692104590593 0.13570335950672932    1.0790461149539041     0.13570335950672932    1.0790461149539041     0.7881025199707437     0.7881025199707437     30     30     4.259576082776044e-06  0.0001263873449631299  0                      0.0                    0.0                    0.0                   
3           0          0.08583088969566892    0.01725321288451566    0.06846435094282068    0.00011332586833257756 0.13265849818139133    1.0788391790138183     0.13265849818139133    1.0788391790138183     0.7894357670700509     0.7894357670700509     40     40     5.274873009572438e-06  0.00010805099532300512 0                      0.0                    0.0                    0.0                   
4           0          0.0288723321630589     0.003611475636985254   0.025147388151382406   0.00011346837469123632 0.060693534657401856   0.6538391251416821     0.060693534657401856   0.6538391251416821     0.41880143309309065    0.41880143309309065    50     320    5.260325763567008e-06  0.00010704074512311001 0                      2.4461014378729263e-08 8.397882554405838e-08  1.0588639646365102e-06
5           0          0.01822570966315478    0.0024204206639687545  0.01569120703877201    0.00011408196041401779 0.04968731303766076    0.5164789652312839     0.04968731303766076    0.5164789652312839     0.3337957754589822     0.3337957754589822     60     735    5.243242843343317e-06  0.00010608971355587084 0                      4.9611200723372044e-08 1.7018949206535145e-07 2.5292033220149127e-06
6           0          0.017821897633045283   0.0023252520200003892  0.015382413043669805   0.00011423256937508995 0.04870068849686163    0.5113717078338357     0.04870068849686163    0.5113717078338357     0.33063436961383147    0.33063436961383147    70     1150   5.201605582054877e-06  0.00010424673279415511 0                      9.072906615304184e-08  2.954897629473542e-07  4.398012169779566e-06 
7           0          0.015411832029969251   0.0018448614275461028  0.013451815630501272   0.00011515497192187446 0.04337924222290632    0.47820588381918483    0.04337924222290632    0.47820588381918483    0.30776139241409106    0.30776139241409106    80     1160   5.170107294101564e-06  0.00010342401123197204 0                      1.3517805659549517e-07 4.291549312100485e-07  5.99652040799532e-06  
8           0          0.015287689117885294   0.0018077026724539302  0.01336634904502191    0.00011363740040945528 0.04294015283676653    0.4766843141492785     0.04294015283676653    0.4766843141492785     0.30733514334549966    0.30733514334549966    90     1170   5.149962497843961e-06  0.0001020909327611586  0                      1.3376994762381812e-07 4.273525606549499e-07  5.835382642173956e-06 
9           0          0.014484060016094898   0.0016659789849957794  0.012704344827161871   0.00011373620393724514 0.04122254922318357    0.4647298823763853     0.04122254922318357    0.4647298823763853     0.298639350248362      0.298639350248362      100    1180   5.140747965236177e-06  0.00010152579234050235 0                      1.5258017760061358e-07 4.816745259935879e-07  6.4354089279124105e-06
10          0          0.014280359539866555   0.0016598582018872079  0.01250641041865501    0.00011409091932433741 0.04114675401156115    0.4610954116074005     0.04114675401156115    0.4610954116074005     0.29612002170865287    0.29612002170865287    110    1190   5.163219239395145e-06  0.00010037143464646698 0                      1.7830709024256347e-07 5.758009089827132e-07  7.802157439250013e-06 
11          0          0.014003114660549494   0.0016269409902025544  0.012261653181777408   0.00011452048856953132 0.04073671329125949    0.4565611739398705     0.04073671329125949    0.4565611739398705     0.2932373061644488     0.2932373061644488     120    1200   5.163665638132375e-06  9.959993711531079e-05  0                      1.9076989724872887e-07 6.395034055891907e-07  8.926612513250232e-06 
12          0          0.01390901793365616    0.00163357489579533    0.012162430141449408   0.00011301289641142554 0.040819681447531675   0.45471014267549514    0.040819681447531675   0.45471014267549514    0.29296800928140054    0.29296800928140054    130    1210   5.1686582176581545e-06 9.787930978006038e-05  0                      2.1261894770173186e-07 6.527400969414638e-07  9.099569369063804e-06 
13          0          0.01385851552885873    0.001628825091104545   0.012117962739993228   0.00011172769776095897 0.04076029431559639    0.45387814226058787    0.04076029431559639    0.45387814226058787    0.29269049418017834    0.29269049418017834    140    1220   5.1786679634800144e-06 9.631286324998026e-05  0                      2.1807752204609997e-07 6.719291572976063e-07  9.346159868154988e-06 
14          0          0.013825208699651361   0.0016168477079248663  0.012098410180412236   0.00010995081131425893 0.04061015466422748    0.4535118239988003     0.04061015466422748    0.4535118239988003     0.292481026350412      0.292481026350412      150    1230   5.176492404087875e-06  9.449379552707751e-05  0                      2.2325565829650555e-07 6.677559748760078e-07  9.389511749921025e-06 
15          0          0.013796675560480557   0.0016065041918505239  0.012082394383845025   0.00010777698478501279 0.04048004786877265    0.4532115465907398     0.04048004786877265    0.4532115465907398     0.29219048670360487    0.29219048670360487    153    1233   5.163572831538416e-06  9.252369191130098e-05  0                      2.2932848671698966e-07 6.531275996540421e-07  9.20726395580236e-06  
