0 4.6847e-01	588.98 1477.33
50 2.5693e-02	74.99 585.70
100 1.3127e-02	45.64 434.10
150 1.0016e-02	36.65 384.53
200 8.8941e-03	34.38 362.61
250 8.0535e-03	31.81 346.44
300 7.4633e-03	30.09 334.32
350 7.6575e-03	29.22 340.48
400 7.7216e-03	28.67 342.85
450 7.3263e-03	27.30 334.82
500 7.1239e-03	27.77 328.99
550 7.1201e-03	27.61 329.11
600 7.5811e-03	27.33 341.17
650 7.4142e-03	26.95 337.49
700 6.9847e-03	26.68 326.87
750 6.9770e-03	26.36 327.09
800 6.7298e-03	26.38 320.58
850 6.8667e-03	26.23 324.38
900 6.9554e-03	26.22 326.71
950 7.8206e-03	26.24 348.46
1000 9.2657e-03	26.36 381.95
1050 9.9614e-03	26.26 397.24
1100 1.0353e-02	26.29 405.50
1150 1.2110e-02	26.32 440.76
1200 1.2858e-02	26.43 454.85
1250 1.3290e-02	26.31 462.96
1300 1.3647e-02	26.26 469.52
1350 1.3214e-02	26.28 461.59
1400 1.3362e-02	26.25 464.34
1450 1.3531e-02	26.20 467.47
1500 1.5248e-02	26.28 497.63
1550 1.7445e-02	26.55 533.62
1600 1.9614e-02	26.78 566.93
1650 2.3373e-02	27.03 620.55
1700 2.6812e-02	27.19 665.89
1750 2.8790e-02	27.35 690.57
1800 2.9732e-02	27.40 702.04
1850 3.1636e-02	27.47 724.68
1900 3.5551e-02	27.76 769.05
1950 3.9989e-02	28.26 816.34
2000 4.5970e-02	28.82 876.10
2050 4.8678e-02	28.96 901.92
2100 5.3409e-02	29.15 945.36
2150 5.9015e-02	29.47 994.33
2200 6.2210e-02	29.57 1021.23
2250 6.6203e-02	30.01 1053.73
2300 7.6368e-02	30.76 1132.43
2350 8.7435e-02	31.34 1212.40
2400 1.0395e-01	32.30 1322.77
2450 1.2181e-01	33.27 1432.53
2500 1.4227e-01	34.20 1548.88
2550 1.6680e-01	35.20 1677.73
2600 1.8685e-01	36.08 1776.15
2650 2.1816e-01	37.33 1919.75
2700 2.4789e-01	38.52 2046.78
2750 2.7303e-01	39.28 2148.42
2800 3.0125e-01	40.21 2257.03
2850 3.2753e-01	41.17 2353.65
2900 3.5495e-01	42.31 2450.36
2950 3.9038e-01	43.59 2569.95
3000 4.0502e-01	44.20 2617.77
