ladder_step loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0.13858479303416762    0.054643532220654406   0.08327713803229043    0.000664122781222801   0.23608558375568886    1.1898366931889925     0.19914143780287946    1.1452123254503126     0.8913814123340242     0.8676765009890978     10     10     6.5512699322655025e-06 0.0006575715112905355  0                      0.0                    0.0                    0.0                   
1           0.12451180899687746    0.050625008563910646   0.07382526481681677    6.153561615003589e-05  0.22723888031751874    1.1202809963000764     0.19098579043430544    1.0807922491408197     0.8400145606822307     0.816515719349836      20     20     2.7936544856067953e-06 5.8741961664429084e-05 0                      0.0                    0.0                    0.0                   
2           0.1240535650980073     0.050586662710795205   0.07346101463471791    5.887752494182386e-06  0.2271528031035218     1.117513873530018      0.19103410273762186    1.0781313285247902     0.8383436530758985     0.8148749554753465     30     30     9.808460815552832e-07  4.906906412627103e-06  0                      0.0                    0.0                    0.0                   
3           0.12288029934811023    0.04982534156036012    0.0730253409067314     2.9616881018668686e-05 0.22543701644683878    1.1141951373545165     0.18897969207063717    1.0735168981434775     0.8330653622267639     0.8085801324810602     40     40     2.528034327895565e-06  2.7088846690773122e-05 0                      0.0                    0.0                    0.0                   
4           0.04576569400252785    0.012132078782475892   0.033602455908108814   3.115931194313153e-05  0.11124172039479138    0.7558053680919065     0.09871507999001983    0.692215402286969      0.5156345740944299     0.48038426733386963    50     320    2.5082247166206188e-06 2.6466532333684817e-05 0                      2.0136464777163785e-08 9.949283201083428e-08  2.0649255960380877e-06
5           0.03138484526104019    0.008197389521165095   0.02315519924632124    3.225649355385933e-05  0.09144034837213716    0.6274060805753557     0.08056593060028722    0.5830820865553246     0.4261239279493025     0.3972261333462261     60     735    2.478731716934061e-06  2.598054679538312e-05  0                      7.075160609284869e-08  2.3671846923691064e-07 3.4897449662123944e-06
6           0.030738236334125913   0.007927003797668353   0.02277950066488912    3.1731871568444855e-05 0.0899196523152183     0.6222953591453785     0.07932614602216369    0.5767887351549664     0.42117408094755254    0.3918315075973797     70     1150   2.4440824674890748e-06 2.54103635795527e-05   0                      9.265128706292758e-08  2.717131746149977e-07  3.5130610597251565e-06
7           0.025326887248239196   0.00615902617205267    0.019135827645341268   3.203343084525904e-05  0.07926037278876634    0.5703587224264788     0.0663773793734388     0.5220018975184274     0.37670858971446936    0.3454829250687965     80     1160   2.4385265603384505e-06 2.5206136071114505e-05 0                      1.0835233102683656e-07 3.2095566733047895e-07 3.959460215448771e-06 
8           0.025254208626555884   0.006158990153606155   0.01906325523748416    3.196323546556845e-05  0.07926014102812821    0.5692761555745666     0.066383073904333      0.5206491613173648     0.37572069736774727    0.34431949670053064    90     1170   2.441267368641983e-06  2.472738145135464e-05  0                      1.1389321145900493e-07 3.341279441210817e-07  4.346565489991744e-06 
9           0.02354645702587495    0.005555655595959441   0.017957429702685865   3.33717272296465e-05   0.07527794303170937    0.5525181509078175     0.06267876385493812    0.5014308797653588     0.36380023348437185    0.3322511586830705     100    1180   2.4382563674796026e-06 2.458067919313672e-05  0                      1.290900742590273e-07  4.314315667883625e-07  5.792270027982784e-06 
10          0.02323182412845611    0.005499902065990169   0.017697993208850113   3.3928853615822576e-05 0.07489926639510286    0.5485124307219602     0.06214409586573638    0.4982831244189059     0.36097762051313276    0.32972354954393596    110    1190   2.4819135199241476e-06 2.4456886766731637e-05 0                      1.36366690798262e-07   4.60492321857949e-07   6.393194316510578e-06 
11          0.022897783902019655   0.005447055409215049   0.017416423683719668   3.4304809084936854e-05 0.07453855724805457    0.544131606043785      0.06167974644690005    0.49406192640115065    0.3575416115503185     0.326533951744877      120    1200   2.4982854199786564e-06 2.430881378997622e-05  0                      1.4063883269803945e-07 5.040221462538361e-07  6.8530488960301e-06   
12          0.022698341731638795   0.005289431693786345   0.017374193399295898   3.4716638556552854e-05 0.07345216352774599    0.5434715170600566     0.060792088048900336   0.4938740573760733     0.35719082422481524    0.32643492909900973    130    1210   2.5199492753823904e-06 2.4148519476495812e-05 0                      1.4139519870146619e-07 5.437052950933795e-07  7.363069310879805e-06 
13          0.02264497840793822    0.005283633934225815   0.017325908248817294   3.543622489510781e-05  0.0734118969388193     0.5427158025077923     0.0608332868264233     0.4933446451393896     0.3561342305019032     0.3253743394893294     140    1220   2.5484905247248465e-06 2.3876291766303137e-05 0                      1.356475292827263e-07  5.779313638819544e-07  8.297863710915143e-06 
14          0.022604089410258623   0.0052652098606675414  0.017303642628640075   3.523692095100931e-05  0.07328379123059217    0.5423669668647001     0.060685308348053586   0.49271262117252024    0.3558200439648271     0.32499956955075987    150    1230   2.5887812631365366e-06 2.3642677090533636e-05 0                      1.3066113770551802e-07 5.730230789323417e-07  8.301778380701273e-06 
15          0.022575835550725894   0.005236295977057815   0.017304552614932182   3.498695873589281e-05  0.07308229536523347    0.5423812280242458     0.06048028099626458    0.49277539962934547    0.3560041213869541     0.3251925146568161     153    1233   2.6367135571211033e-06 2.3258866987256994e-05 0                      1.47300999012849e-07   5.823197915883028e-07  8.361757400913568e-06 
