0 2.0965e+00	564.49 1341.42
50 1.4143e+00	295.13 1137.10
100 1.3779e+00	292.06 1112.68
0 1.3779e+00	292.06 1112.68
50 1.2262e+00	338.41 1037.09
100 1.2044e+00	338.76 1036.55
0 1.2042e+00	338.72 1036.58
50 1.1992e+00	354.41 1031.00
100 1.1981e+00	356.46 1030.60
0 1.1978e+00	356.04 1030.64
50 1.1943e+00	356.80 1028.83
100 1.1979e+00	357.72 1030.30
0 1.1979e+00	357.72 1030.32
50 6.6853e-01	169.46 786.64
100 6.0860e-01	160.29 750.72
150 5.8199e-01	151.95 734.75
200 5.4285e-01	175.78 705.52
250 5.3540e-01	176.31 700.39
300 5.3526e-01	176.02 700.33
350 5.3560e-01	176.97 700.41
400 5.3365e-01	176.66 699.14
450 5.3615e-01	176.38 700.88
500 5.3660e-01	176.29 701.20
550 5.3830e-01	176.09 702.39
600 5.3719e-01	176.44 701.58
650 5.3833e-01	176.24 702.39
700 5.3772e-01	176.19 701.98
750 5.3803e-01	176.50 702.14
800 5.3903e-01	176.68 702.79
850 5.3884e-01	176.52 702.69
900 5.3895e-01	176.88 702.71
950 5.3902e-01	177.05 702.72
1000 5.3829e-01	176.91 702.25
0 5.3829e-01	176.91 702.25
50 5.3803e-01	177.03 702.06
100 4.8824e-01	178.46 667.20
150 4.2637e-01	161.56 624.33
200 3.9240e-01	169.75 596.45
250 3.8434e-01	167.15 590.44
300 3.8360e-01	167.03 589.87
350 3.8265e-01	165.56 589.35
400 3.8323e-01	165.63 589.81
450 3.8321e-01	165.64 589.79
500 3.8267e-01	165.20 589.44
550 3.8236e-01	165.59 589.11
600 3.8078e-01	165.59 587.84
650 3.8031e-01	165.63 587.44
700 3.8046e-01	165.36 587.61
750 3.8033e-01	165.18 587.54
800 3.8043e-01	165.24 587.61
850 3.8046e-01	165.44 587.60
900 3.8048e-01	165.42 587.62
950 3.8059e-01	165.53 587.69
1000 3.8036e-01	165.48 587.51
0 3.8036e-01	165.48 587.51
50 3.8024e-01	165.92 587.34
100 3.6076e-01	156.45 572.98
150 3.5395e-01	161.08 566.49
200 3.4122e-01	159.77 555.92
250 3.3427e-01	152.26 551.25
300 3.2723e-01	146.33 546.14
350 3.3301e-01	144.42 551.47
400 3.3329e-01	145.25 551.57
450 3.3361e-01	145.25 551.85
500 3.3131e-01	144.73 549.95
550 3.3116e-01	145.02 549.77
600 3.3031e-01	145.18 549.00
650 3.3155e-01	144.64 550.17
700 3.3193e-01	144.36 550.55
750 3.3095e-01	144.23 549.71
800 3.3115e-01	144.66 549.82
850 3.3096e-01	144.56 549.67
900 3.3057e-01	144.31 549.37
950 3.3073e-01	144.76 549.44
1000 3.3082e-01	144.77 549.51
0 3.3082e-01	144.77 549.51
50 3.3066e-01	144.56 549.41
100 3.3065e-01	144.37 549.43
150 3.3031e-01	143.28 549.31
200 3.2810e-01	142.89 547.46
250 3.2959e-01	143.23 548.70
300 3.3051e-01	139.23 550.13
350 3.2772e-01	139.44 547.68
400 3.2973e-01	138.25 549.60
450 3.2807e-01	137.43 548.30
500 3.2842e-01	137.50 548.59
550 3.2846e-01	137.41 548.64
600 3.3025e-01	136.94 550.26
650 3.2954e-01	137.25 549.60
700 3.2991e-01	137.78 549.84
750 3.2963e-01	137.60 549.62
800 3.2923e-01	137.25 549.33
850 3.2853e-01	137.35 548.70
900 3.2801e-01	137.22 548.28
950 3.2760e-01	137.29 547.91
1000 3.2699e-01	137.44 547.35
0 3.2699e-01	137.44 547.35
50 3.2688e-01	137.48 547.26
100 3.2714e-01	137.40 547.49
150 3.2749e-01	137.32 547.81
200 3.2790e-01	137.23 548.18
