0 2.5171e+00	588.98 1477.33
50 4.0894e-01	146.27 613.37
100 2.5136e-01	93.85 483.67
150 1.9534e-01	77.67 426.97
200 1.7095e-01	67.74 399.96
250 1.6647e-01	62.65 395.11
300 1.9002e-01	63.86 422.42
350 2.2772e-01	64.38 462.94
400 2.5085e-01	65.18 486.08
450 2.0194e-01	65.04 435.55
500 1.9687e-01	65.42 429.93
550 1.7907e-01	65.56 409.73
600 1.8042e-01	65.64 411.29
650 1.7196e-01	66.05 401.34
700 1.6877e-01	65.78 397.56
750 1.7683e-01	65.91 407.09
800 1.8652e-01	65.78 418.28
850 1.8460e-01	65.93 416.07
900 1.7864e-01	66.34 409.15
950 1.6881e-01	66.42 397.54
1000 1.6323e-01	66.59 390.78
1050 1.6150e-01	66.70 388.66
