0 4.6847e-01	588.98 1477.33
50 3.2181e-02	88.59 645.19
100 1.7547e-02	58.40 491.38
150 1.3434e-02	46.67 438.25
200 1.1716e-02	44.47 407.67
250 1.1589e-02	42.92 407.81
300 1.1746e-02	41.54 413.40
350 1.2929e-02	41.06 437.81
400 1.4391e-02	40.89 465.57
450 1.5153e-02	40.19 480.28
500 1.5767e-02	39.47 491.98
550 1.4598e-02	39.11 471.86
600 1.3413e-02	39.16 449.92
650 1.2151e-02	38.99 425.70
700 1.1561e-02	38.80 414.03
750 1.1742e-02	38.72 417.85
800 1.1649e-02	38.49 416.31
850 1.1040e-02	38.62 403.49
900 1.1028e-02	38.60 403.25
