0 4.1740e-01	542.95 1477.33
50 3.1702e-02	83.06 651.11
100 1.6682e-02	55.75 481.45
150 1.2905e-02	47.36 426.61
200 1.1562e-02	44.24 404.88
250 1.1094e-02	41.71 399.48
300 1.0801e-02	41.42 393.73
350 1.0543e-02	41.11 388.67
400 1.0487e-02	41.02 387.59
450 1.0373e-02	40.92 385.25
500 1.0315e-02	40.49 384.74
550 1.0243e-02	40.20 383.64
600 1.0198e-02	40.11 382.79
650 1.0162e-02	40.04 382.12
700 1.0143e-02	39.93 381.88
750 1.0118e-02	39.61 381.87
800 1.0076e-02	39.26 381.55
850 1.0041e-02	39.17 380.94
900 1.0009e-02	38.98 380.53
950 9.9814e-03	38.94 379.98
1000 9.9763e-03	39.01 379.75
1050 9.9713e-03	38.96 379.72
1100 9.9641e-03	38.96 379.56
1150 9.9568e-03	38.92 379.46
1200 9.9612e-03	38.98 379.47
1250 9.9570e-03	39.00 379.33
1300 9.9504e-03	39.04 379.12
1350 9.9459e-03	39.05 378.99
1400 9.9408e-03	39.09 378.82
1450 9.9375e-03	39.07 378.77
1500 9.9375e-03	39.10 378.72
1550 9.9339e-03	39.10 378.63
1600 9.9333e-03	39.13 378.57
1650 9.9295e-03	39.14 378.47
1700 9.9259e-03	39.14 378.40
1750 9.9233e-03	39.12 378.37
1800 9.9236e-03	39.14 378.34
1850 9.9153e-03	39.11 378.21
1900 9.9153e-03	39.10 378.22
1950 9.9164e-03	39.08 378.28
2000 9.9123e-03	39.07 378.19
2050 9.9130e-03	39.04 378.26
2100 9.9129e-03	39.06 378.24
2150 9.9125e-03	39.03 378.27
2200 9.9134e-03	39.03 378.30
2250 9.9126e-03	39.00 378.32
2300 9.9132e-03	39.02 378.31
2350 9.9124e-03	39.03 378.27
2400 9.9115e-03	39.03 378.25
2450 9.9129e-03	39.03 378.28
2500 9.9128e-03	39.01 378.30
2550 9.9141e-03	39.01 378.33
2600 9.9138e-03	39.02 378.31
2650 9.9150e-03	39.03 378.33
2700 9.9138e-03	39.02 378.32
2750 9.9110e-03	39.01 378.26
2800 9.9102e-03	39.00 378.27
2850 9.9083e-03	39.01 378.21
2900 9.9103e-03	39.00 378.27
